subscriptionPlan,username,password,membershipID,equipID,subscriptionType
Bronze,ruffswithdraw,ZPCGl5oAzG,34556474,437999,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556475,386220,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556476,653592,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556477,100059,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556478,606220,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556479,112852,Bronze
Bronze,honeycombferocious,gL3J44Qax0,74025913,641925,Bronze
Bronze,honeycombferocious,gL3J44Qax1,74025914,770469,Bronze
Bronze,honeycombferocious,gL3J44Qax2,74025915,221428,Bronze
Bronze,honeycombferocious,gL3J44Qax3,74025916,836672,Bronze
Bronze,honeycombferocious,gL3J44Qax4,74025917,437999,Bronze
Bronze,honeycombferocious,gL3J44Qax5,74025918,386220,Bronze
Bronze,honeycombferocious,gL3J44Qax6,74025919,653592,Bronze
Bronze,honeycombferocious,gL3J44Qax7,74025920,100059,Bronze
Bronze,honeycombferocious,gL3J44Qax8,74025921,606220,Bronze
Bronze,honeycombferocious,gL3J44Qax9,74025922,112852,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608834,641925,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608835,770469,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608836,221428,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608837,836672,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608838,437999,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608839,386220,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608840,653592,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608841,100059,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608842,606220,Bronze
Bronze,lanternpoliceman,yHWpkLCe0g,39608843,112852,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256776,641925,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256777,770469,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256778,221428,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256779,836672,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256780,437999,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256781,386220,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256782,653592,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256783,100059,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256784,606220,Bronze
Bronze,oddballdependent,bOv22Gjnlv,84256785,112852,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451103,641925,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451104,770469,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451105,221428,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451106,836672,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451107,437999,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451108,386220,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451109,653592,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451110,100059,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451111,606220,Bronze
Bronze,obviouscrystals,27IhNdz31x,36451112,112852,Bronze
Bronze,easternreading,cPC6IYZht14,53723283,641925,Bronze
Bronze,easternreading,cPC6IYZht15,53723284,770469,Bronze
Bronze,easternreading,cPC6IYZht16,53723285,221428,Bronze
Bronze,easternreading,cPC6IYZht17,53723286,836672,Bronze
Bronze,easternreading,cPC6IYZht18,53723287,437999,Bronze
Bronze,easternreading,cPC6IYZht19,53723288,386220,Bronze
Bronze,easternreading,cPC6IYZht20,53723289,653592,Bronze
Bronze,easternreading,cPC6IYZht21,53723290,100059,Bronze
Bronze,easternreading,cPC6IYZht22,53723291,606220,Bronze
Bronze,easternreading,cPC6IYZht23,53723292,112852,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236030,641925,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236031,770469,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236032,221428,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236033,836672,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236034,437999,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236035,386220,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236036,653592,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236037,100059,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236038,606220,Bronze
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236039,112852,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807192,641925,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807193,770469,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807194,221428,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807195,836672,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807196,437999,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807197,386220,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807198,653592,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807199,100059,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807200,606220,Bronze
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807201,112852,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177908,641925,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177909,770469,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177910,221428,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177911,836672,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177912,437999,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177913,386220,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177914,653592,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177915,100059,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177916,606220,Bronze
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177917,112852,Bronze
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039558,641925,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039559,770469,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039560,221428,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039561,836672,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039562,437999,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039563,386220,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039564,653592,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039565,100059,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039566,606220,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039567,112852,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039568,655027,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039569,513772,Silver
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039570,125438,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369235,641925,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369236,770469,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369237,221428,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369238,836672,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369239,437999,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369240,386220,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369241,653592,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369242,100059,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369243,606220,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369244,112852,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369245,655027,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369246,513772,Silver
Silver,bladerunnerClyde,0R1B5ZxU8w,53369247,125438,Silver
Silver,blackberryDahlia,01P7MCngH3,50589783,641925,Silver
Silver,blackberryDahlia,01P7MCngH4,50589784,770469,Silver
Silver,blackberryDahlia,01P7MCngH5,50589785,221428,Silver
Silver,blackberryDahlia,01P7MCngH6,50589786,836672,Silver
Silver,blackberryDahlia,01P7MCngH7,50589787,437999,Silver
Silver,blackberryDahlia,01P7MCngH8,50589788,386220,Silver
Silver,blackberryDahlia,01P7MCngH9,50589789,653592,Silver
Silver,blackberryDahlia,01P7MCngH10,50589790,100059,Silver
Silver,blackberryDahlia,01P7MCngH11,50589791,606220,Silver
Silver,blackberryDahlia,01P7MCngH12,50589792,112852,Silver
Silver,blackberryDahlia,01P7MCngH13,50589793,655027,Silver
Silver,blackberryDahlia,01P7MCngH14,50589794,513772,Silver
Silver,blackberryDahlia,01P7MCngH15,50589795,125438,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740735,641925,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740736,770469,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740737,221428,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740738,836672,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740739,437999,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740740,386220,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740741,653592,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740742,100059,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740743,606220,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740744,112852,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740745,655027,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740746,513772,Silver
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740747,125438,Silver
Silver,sandwichcrystal,SRya8jL52b,82720930,641925,Silver
Silver,sandwichcrystal,SRya8jL52b,82720931,770469,Silver
Silver,sandwichcrystal,SRya8jL52b,82720932,221428,Silver
Silver,sandwichcrystal,SRya8jL52b,82720933,836672,Silver
Silver,sandwichcrystal,SRya8jL52b,82720934,437999,Silver
Silver,sandwichcrystal,SRya8jL52b,82720935,386220,Silver
Silver,sandwichcrystal,SRya8jL52b,82720936,653592,Silver
Silver,sandwichcrystal,SRya8jL52b,82720937,100059,Silver
Silver,sandwichcrystal,SRya8jL52b,82720938,606220,Silver
Silver,sandwichcrystal,SRya8jL52b,82720939,112852,Silver
Silver,sandwichcrystal,SRya8jL52b,82720940,655027,Silver
Silver,sandwichcrystal,SRya8jL52b,82720941,513772,Silver
Silver,sandwichcrystal,SRya8jL52b,82720942,125438,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596923,641925,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596924,770469,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596925,221428,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596926,836672,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596927,437999,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596928,386220,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596929,653592,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596930,100059,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596931,606220,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596932,112852,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596933,655027,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596934,513772,Silver
Silver,poolnetsophia,o2x9KVqnNf,92596935,125438,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969957,641925,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969958,770469,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969959,221428,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969960,836672,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969961,437999,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969962,386220,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969963,653592,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969964,100059,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969965,606220,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969966,112852,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969967,655027,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969968,513772,Silver
Silver,grapefruitsaffa,h5YwIZl7Sx,82969969,125438,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846115,641925,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846116,770469,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846117,221428,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846118,836672,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846119,437999,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846120,386220,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846121,653592,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846122,100059,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846123,606220,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846124,112852,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846125,655027,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846126,513772,Silver
Silver,marlierosecheetah,1ccn4HZZFR,93846127,125438,Silver
Silver,cranberryireland,WxsOG4qnrx,62755947,641925,Silver
Silver,cranberryireland,WxsOG4qnrx,62755948,770469,Silver
Silver,cranberryireland,WxsOG4qnrx,62755949,221428,Silver
Silver,cranberryireland,WxsOG4qnrx,62755950,836672,Silver
Silver,cranberryireland,WxsOG4qnrx,62755951,437999,Silver
Silver,cranberryireland,WxsOG4qnrx,62755952,386220,Silver
Silver,cranberryireland,WxsOG4qnrx,62755953,653592,Silver
Silver,cranberryireland,WxsOG4qnrx,62755954,100059,Silver
Silver,cranberryireland,WxsOG4qnrx,62755955,606220,Silver
Silver,cranberryireland,WxsOG4qnrx,62755956,112852,Silver
Silver,cranberryireland,WxsOG4qnrx,62755957,655027,Silver
Silver,cranberryireland,WxsOG4qnrx,62755958,513772,Silver
Silver,cranberryireland,WxsOG4qnrx,62755959,125438,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106563,641925,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106564,770469,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106565,221428,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106566,836672,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106567,437999,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106568,386220,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106569,653592,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106570,100059,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106571,606220,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106572,112852,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106573,655027,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106574,513772,Silver
Silver,rockycasinoopal,oLTI9zCcBt,77106575,125438,Silver
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668595,641925,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668596,770469,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668597,221428,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668598,836672,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668599,437999,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668600,386220,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668601,653592,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668602,100059,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668603,606220,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668604,112852,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668605,655027,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668606,513772,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668607,125438,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668608,487249,Gold
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668609,980321,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209265,641925,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209266,770469,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209267,221428,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209268,836672,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209269,437999,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209270,386220,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209271,653592,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209272,100059,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209273,606220,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209274,112852,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209275,655027,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209276,513772,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209277,125438,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209278,487249,Gold
Gold,staceyceruleanfishroll,czzCRK69cU,93209279,980321,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670282,641925,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670283,770469,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670284,221428,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670285,836672,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670286,437999,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670287,386220,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670288,653592,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670289,100059,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670290,606220,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670291,112852,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670292,655027,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670293,513772,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670294,125438,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670295,487249,Gold
Gold,rushkiwiKatherine,M7ELyUtUkc,98670296,980321,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280940,641925,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280941,770469,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280942,221428,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280943,836672,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280944,437999,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280945,386220,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280946,653592,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280947,100059,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280948,606220,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280949,112852,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280950,655027,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280951,513772,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280952,125438,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280953,487249,Gold
Gold,spectacularbatasa,qDzvOzdF8i,70280954,980321,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605514,641925,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605515,770469,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605516,221428,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605517,836672,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605518,437999,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605519,386220,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605520,653592,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605521,100059,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605522,606220,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605523,112852,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605524,655027,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605525,513772,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605526,125438,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605527,487249,Gold
Gold,munozmeloneagle,YqtQZNL7bv,36605528,980321,Gold
